CORREGIMIENTO,REGION,Image URL,Sem 11,Sem 12,Sem 13,Sem 14,Sem 15,Sem 16,Sem 17,Sem 18,Sem 19,Sem 20,Sem 21,Sem 22,Sem 23,Sem 24,Sem 25,Sem 26,Sem 27,Sem 28,Sem 29
HERRERA,PANAMA OESTE,,0,24.3,48.6,267.5,510.7,656.6,997.1,1361.9,1702.3,1969.8,2067.1,2383.3,2723.7,3404.7,3988.3,4669.3,5666.3,7149.8,8852.1
HICACO,VERAGUAS,,0,0,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,93.1,93.1,93.1,93.1,93.1,93.1
HORNITO,CHIRIQUI,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.9
HURTADO,PANAMA OESTE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,66,66
ITURRALDE,PANAMA OESTE,,0,0,0,0,0,0,0,0,0,0,0,0,0,58.1,58.1,58.1,58.1,116.2,232.4
JAQUE,DARIEN,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.1,41.1,41.1,41.1,41.1
JARAMILLO,CHIRIQUI,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.1,34.1
JOSE DOMINGO ESPINAR,SAN MIGUELITO,,0,10.6,33.5,51.1,82.8,102.2,123.3,151.5,172.6,193.7,209.6,239.5,304.7,345.2,449.1,544.2,669.3,826,1000.4
JUAN DEMOSTENES AROSEMENA,PANAMA OESTE,,3.9,13.8,49.4,77,136.3,173.8,211.3,278.4,343.6,387,424.6,511.5,578.6,695.1,859,1048.6,1246.1,1406,1635.1
JUAN DIAZ,COCLE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.3
JUAN DIAZ,METROPOLITANA,,8.5,34.2,75.5,118.2,163.8,220.8,272.1,329.1,383.2,421.7,448.7,487.2,582.6,709.4,873.2,1084.1,1297.8,1571.3,1891.8
KANKINTU,NGOBE BUGLE,,0,0,0,0,0,0,0,0,0,0,0,0,0,202.8,829.8,1198.6,1198.6,1751.8,2120.6
KUSAPIN,NGOBE BUGLE,,0,0,0,0,0,0,0,0,0,0,0,0,0,164.4,187.8,234.8,540,727.9,939.2
LA ARENA,HERRERA,,0,0,0,11.9,11.9,11.9,11.9,11.9,11.9,11.9,23.8,23.8,23.8,23.8,23.8,47.5,59.4,107,166.4
LA CARRILLO,VERAGUAS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.7,151.7,151.7,151.7,151.7
LA COLORADA,LOS SANTOS,,0,0,0,0,0,0,278.3,649.4,649.4,649.4,649.4,649.4,649.4,649.4,649.4,649.4,742.1,742.1,742.1
LA COLORADA,VERAGUAS,,0,0,133.3,177.8,177.8,177.8,177.8,222.2,222.2,222.2,266.7,266.7,311.1,311.1,355.6,400,400,444.4,488.9
LA CONCEPCION,CHIRIQUI,,0,0,0,0,0,0,0,0,0,0,6,6,6,36.3,48.4,84.7,151.2,193.5,241.9
LA ERMITA,PANAMA OESTE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.8,143.3,143.3
LA ESMERALDA,PANAMA ESTE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.1
LA ESPIGADILLA,LOS SANTOS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.9,55.9,111.8
LA ESTRELLA,CHIRIQUI,,0,0,0,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,40.6,61,61,121.9,182.9,223.5
LA GLORIA,BOCAS DEL TORO,,0,0,0,0,0,0,0,0,0,0,0,22.4,44.8,44.8,67.2,67.2,67.2,89.6,112
LA GUINEA,PANAMA ESTE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,943.4,943.4,943.4,943.4,943.4
LA LAGUNA,PANAMA OESTE,,0,0,0,0,0,0,0,0,0,67.1,67.1,67.1,67.1,67.1,67.1,67.1,67.1,67.1,134.1
LA LAGUNA,VERAGUAS,,0,0,0,0,125.5,125.5,125.5,125.5,125.5,125.5,125.5,125.5,125.5,125.5,125.5,125.5,125.5,125.5,125.5
LA MESA,VERAGUAS,,0,0,0,0,0,0,62.2,186.5,186.5,186.5,217.6,248.7,341.9,341.9,373,590.6,652.8,715,870.4
LA PALMA,DARIEN,,0,0,0,23.3,69.8,162.9,162.9,162.9,162.9,162.9,162.9,162.9,162.9,186.2,186.2,186.2,186.2,232.8,279.3
LA PALMA,LOS SANTOS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76
LA PASERA,LOS SANTOS,,0,0,0,0,0,0,0,0,0,104.2,104.2,104.2,104.2,104.2,104.2,104.2,104.2,104.2,104.2
LA PAVA,COCLE,,0,0,0,0,0,0,0,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,108.9
LA PEÑA,VERAGUAS,,0,0,23.2,23.2,23.2,46.4,116,139.1,139.1,185.5,185.5,231.9,255.1,626.2,672.5,672.5,718.9,742.1,858.1
LA PINTADA,COCLE,,0,0,0,19.4,38.9,38.9,38.9,58.3,58.3,58.3,58.3,58.3,97.2,194.5,291.7,311.2,369.5,389,427.8
LA RAYA DE SANTA MARIA,VERAGUAS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.3,88.5,132.8
LA REPRESA,PANAMA OESTE,,0,0,0,0,0,0,121.8,121.8,243.6,243.6,243.6,243.6,243.6,243.6,365.4,365.4,365.4,365.4,487.2
LA TIZA,LOS SANTOS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.1,56.1
LA TRINCHERA,VERAGUAS,,0,0,0,0,0,0,57.6,57.6,115.1,115.1,115.1,115.1,115.1,115.1,115.1,115.1,115.1,115.1,115.1
LA TRINIDAD,PANAMA OESTE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.8,63.5,63.5
LA VILLA DE LOS SANTOS,LOS SANTOS,,0,0,0,11.7,11.7,23.4,23.4,23.4,23.4,23.4,23.4,23.4,35.2,35.2,46.9,58.6,70.3,105.5,105.5
LAJAS BLANCAS,DARIEN,,0,0,0,19.8,39.6,59.4,79.1,98.9,98.9,138.5,138.5,138.5,138.5,850.8,1226.8,1226.8,1563.1,1622.5,1800.6
LAJERO,NGOBE BUGLE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.6,114.4,114.4,143,200.2
LAS CUMBRES,PANAMA NORTE,,5.8,21.4,44.8,64.3,120.8,150.1,177.3,206.6,243.6,278.7,300.1,382,485.3,615.8,841.9,1017.3,1344.7,1629.2,1911.8
LAS GARZAS,METROPOLITANA,,0,0,0,4.2,50.9,67.9,110.3,165.5,186.7,199.5,254.6,271.6,369.2,475.3,551.7,729.9,950.6,1052.5,1243.4
LAS LAJAS,CHIRIQUI,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,117
LAS LAJAS,PANAMA OESTE,,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,43.5,43.5,43.5,43.5,86.9
LAS LOMAS,CHIRIQUI,,0,0,0,17,17,25.6,34.1,38.4,38.4,38.4,38.4,38.4,42.6,93.8,119.3,191.8,268.5,379.4,528.5
LAS LOMAS,COCLE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,74,74,184.9
LAS MARGARITAS,PANAMA ESTE,,0,0,0,0,47.6,158.7,174.6,190.4,206.3,222.2,238.1,238.1,269.8,380.9,618.9,730,904.6,1222,1571.2
LAS OLLAS ARRIBA,PANAMA OESTE,,0,0,0,0,63.5,253.8,253.8,253.8,253.8,253.8,253.8,253.8,253.8,253.8,253.8,317.3,317.3,571.1,571.1
LAS PALMAS,VERAGUAS,,0,0,0,0,0,0,45.9,45.9,45.9,45.9,45.9,91.9,91.9,183.7,183.7,183.7,229.7,367.5,367.5
LAS TABLAS,BOCAS DEL TORO,,0,0,0,0,0,0,0,0,0,7.4,7.4,7.4,7.4,22.1,73.7,117.9,140,176.9,324.3
LAS TABLAS,LOS SANTOS,,0,0,0,0,0,0,0,0,0,0,0,0,20.7,20.7,20.7,20.7,20.7,20.7,20.7
LEONES,HERRERA,,0,0,0,0,0,237.2,237.2,237.2,237.2,237.2,237.2,237.2,237.2,237.2,237.2,237.2,237.2,237.2,237.2
LIDICE,PANAMA OESTE,,0,15.2,30.4,45.6,136.9,152.1,167.3,182.5,197.7,197.7,212.9,212.9,243.3,288.9,288.9,319.3,501.8,684.3,745.1
LIMON,COLON,,0,0,0,0,0,0,0,17.8,53.5,53.5,71.4,124.9,124.9,142.8,267.7,303.4,321.2,571,785.2
LLANO ABAJO,LOS SANTOS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,670
LLANO BONITO,HERRERA,,0,0,0,0,0,0,0,0,0,0,0,0,0,36.9,36.9,92.3,147.7,147.7,193.9
LLANO DE CATIVAL,VERAGUAS,,0,0,0,0,0,0,0,0,0,0,0,0,158.4,514.6,514.6,514.6,633.4,910.5,989.7
LLANO DE PIEDRA,LOS SANTOS,,0,0,0,0,0,0,0,39.7,39.7,39.7,39.7,39.7,39.7,39.7,39.7,39.7,39.7,79.3,79.3
LLANO GRANDE,COCLE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,70,70,93.4,93.4
LLANO LARGO,LOS SANTOS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.8,82.8,82.8,124.2
LLANO NORTE,COCLE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.8,25.8,25.8
LOS ALGARROBOS,CHIRIQUI,,0,0,0,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,29.1,48.4,48.4,87.2,125.9,154.9,261.5,319.6
LOS ALGARROBOS,VERAGUAS,,0,0,0,32.7,98.1,147.1,163.5,245.2,310.6,376,392.3,425,425,474.1,490.4,572.2,588.5,637.6,752
LOS ANASTACIOS,CHIRIQUI,,0,0,0,0,0,0,0,0,0,0,0,0,0,60.9,152.2,274,426.2,456.6,517.5
LOS CANELOS,HERRERA,,0,0,0,0,0,0,0,0,0,0,0,0,58.2,58.2,58.2,58.2,58.2,116.4,291
LOS CASTILLOS,VERAGUAS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.5
LOS DIAZ,PANAMA OESTE,,0,0,0,0,65.5,131.1,131.1,131.1,131.1,131.1,131.1,131.1,131.1,131.1,196.6,589.8,655.3,786.4,917.4
LOS LLANITOS,PANAMA OESTE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.7,23.7
LOS MILAGROS,VERAGUAS,,0,0,0,0,0,0,0,0,171.7,171.7,171.7,171.7,171.7,171.7,171.7,171.7,171.7,171.7,257.5
LOS NARANJOS,CHIRIQUI,,0,0,0,0,0,0,0,0,0,0,0,0,0,21.4,21.4,21.4,149.9,171.3,278.4
LOS OLIVOS,LOS SANTOS,,0,0,0,0,0,0,0,75,75,75,75,75,75,75,75,75,75,75,75
LOS POZOS,HERRERA,,0,0,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,132.5
MACARACAS,LOS SANTOS,,0,0,0,0,0,75.6,75.6,75.6,75.6,75.6,75.6,75.6,75.6,75.6,75.6,75.6,113.4,453.5,718.1
MANCREEK,NGOBE BUGLE,,0,0,0,0,0,0,0,0,0,0,0,30.1,45.1,45.1,45.1,45.1,45.1,45.1,45.1
MANUEL ORTEGA,DARIEN,,0,0,0,0,45.7,45.7,45.7,45.7,45.7,45.7,45.7,45.7,91.4,91.4,137,182.7,182.7,182.7,182.7
MAÑANITAS,METROPOLITANA,,0,0,7.7,20.1,60.3,92.7,145.3,183.9,224.1,272,333.8,395.6,459,537.8,667.6,811.3,992.1,1271.8,1519.1
MARIA CHIQUITA,COLON,,0,0,34.6,34.6,34.6,69.2,103.8,103.8,103.8,103.8,103.8,103.8,103.8,103.8,103.8,138.5,207.7,207.7,380.8
MATEO ITURRALDE,SAN MIGUELITO,,0,0,52.2,89.5,149.2,179,238.6,298.3,313.2,343.1,395.3,447.5,529.5,626.4,745.8,977,1342.4,1603.4,2043.4
MENDOZA,PANAMA OESTE,,0,0,0,0,0,66.3,132.6,198.9,265.3,265.3,331.6,397.9,596.8,862.1,1127.3,1259.9,1392.6,1392.6,1392.6
METETI,DARIEN,,0,0,0,68.5,462.3,522.3,633.6,736.3,864.7,881.8,890.4,933.2,1198.6,1344.2,1566.8,1969.2,2217.5,2542.8,2679.8
MIRAMAR,BOCAS DEL TORO,,0,0,0,0,0,64,64,448.1,1472.5,1728.6,1728.6,1792.6,1792.6,1792.6,1856.6,1856.6,1856.6,1856.6,1856.6
MONAGRILLO,HERRERA,,0,0,0,7.3,7.3,7.3,7.3,7.3,7.3,14.5,14.5,14.5,14.5,14.5,21.8,72.7,152.6,167.2,283.4
MONTE LIRIO,CHIRIQUI,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.5,53.5,160.6
MONTIJO,VERAGUAS,,0,40.1,40.1,40.1,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,120.2,240.5,280.6,400.8,561.1,761.5,881.8
NAMNONI,NGOBE BUGLE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.7
NARGANA,GUNA YALA,,0,0,9.7,9.7,48.4,48.4,150,261.3,440.4,551.7,609.8,638.8,696.9,701.7,721.1,740.4,784,822.7,856.6
NATA,COCLE,,0,0,13.1,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,91.7,144.1,157.2,209.6,235.8,327.6
NIBA,NGOBE BUGLE,,0,0,0,0,0,0,0,0,0,0,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3
NOMBRE DE DIOS,COLON,,0,0,0,0,0,0,0,0,0,0,0,0,77.9,77.9,77.9,77.9,77.9,77.9,77.9
NUEVA CALIFORNIA,CHIRIQUI,,0,0,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,30.3,45.4,75.7
NUEVA GORGONA,PANAMA OESTE,,0,0,0,37.4,37.4,37.4,37.4,37.4,37.4,37.4,37.4,37.4,93.4,112.1,149.4,149.4,224.2,224.2,242.9
NUEVA PROVIDENCIA,COLON,,0,0,12.2,24.5,36.7,49,61.2,61.2,61.2,61.2,61.2,85.7,97.9,110.1,146.9,171.3,232.5,342.7,575.2
NUEVO CHAGRES,COLON,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,967.7
NUEVO EMPERADOR,PANAMA OESTE,,18.9,18.9,37.9,170.4,265,340.7,416.4,511.1,567.9,586.8,624.6,719.3,965.4,1041.1,1249.3,1552.1,2006.4,2309.3,2725.7
NUEVO MEXICO,CHIRIQUI,,0,0,0,0,0,0,0,0,0,2371.5,2608.7,2766.8,2806.3,2924.9,2924.9,2964.4,2964.4,2964.4,3043.5
NUEVO SANTIAGO,VERAGUAS,,0,0,0,158.6,370.2,423.1,475.9,475.9,475.9,475.9,475.9,1745.1,2115.3,2273.9,2591.2,2855.6,2855.6,3225.8,4230.6
OBALDIA,PANAMA OESTE,,0,151.3,151.3,302.6,453.9,453.9,453.9,453.9,453.9,453.9,453.9,453.9,453.9,453.9,453.9,453.9,453.9,605.1,756.4
OCU,HERRERA,,0,0,0,0,0,0,0,0,0,0,0,0,13.8,13.8,13.8,13.8,27.5,41.3,110.2
OLA,COCLE,,0,0,0,0,0,0,54.6,54.6,54.6,54.6,54.6,54.6,54.6,54.6,54.6,54.6,327.7,327.7,327.7
OMAR TORRIJOS,SAN MIGUELITO,,2.3,9.4,21.1,53.8,93.6,112.3,152.1,201.2,224.6,238.6,264.3,327.5,449.1,718.2,1041,1389.5,1698.3,2058.6,2470.3
PACORA,PANAMA ESTE,,0,5.8,25.3,66.1,145.7,221.5,285.6,375,427.4,474.1,571.2,1018.1,1391.1,1711.7,2078.9,2389.8,2657.9,3100.9,3489.5
PAJONAL,COCLE,,0,0,0,6.7,13.5,20.2,27,40.4,40.4,40.4,53.9,53.9,53.9,60.7,67.4,67.4,67.4,94.4,94.4
PALENQUE,COLON,,0,0,0,0,0,0,0,0,0,0,0,0,213.2,213.2,213.2,213.2,213.2,213.2,1066.1
PALMAS BELLAS,COLON,,0,0,0,0,0,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,95.3,333.5
PALMIRA,CHIRIQUI,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211.8
PARIS,HERRERA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.3
PARITA,HERRERA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,52,78,181.9,415.8
PARQUE LEFEVRE,METROPOLITANA,,0,14.1,44.7,94.2,164.8,190.7,223.7,242.5,268.5,299.1,320.3,357.9,435.6,520.4,694.7,887.8,1144.4,1424.7,1631.9
PASO ANCHO,CHIRIQUI,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169.5,169.5,169.5,1129.9,1581.9
PEDASI,LOS SANTOS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,185,222.1
PEDREGAL,CHIRIQUI,,0,0,0,45.2,45.2,90.3,90.3,90.3,180.7,180.7,180.7,361.3,858.2,2348.7,2981,3703.7,4110.2,4516.7,5555.6
PEDREGAL,METROPOLITANA,,0,10.3,27.5,54.9,106.4,161.3,240.2,329.4,406.6,501,545.6,638.3,724.1,849.3,1099.8,1321.2,1599.1,2012.6,2424.4
PENONOME,COCLE,,0,0,7.8,19.6,19.6,19.6,23.5,50.9,50.9,50.9,50.9,54.8,58.7,66.5,82.2,97.9,144.8,191.8,309.2
PESE,HERRERA,,0,0,0,36.6,36.6,36.6,36.6,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,109.9,109.9,109.9,109.9
PIEDRAS GORDAS,COCLE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.2,20.2,20.2,20.2
PILON,VERAGUAS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,362,995.5
PINOGANA,DARIEN,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1449.3,1449.3,1449.3
PIÑA,COLON,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.8,195.5
PLAYA LEONA,PANAMA OESTE,,0,38.8,87.3,145.5,271.6,339.5,446.2,504.4,533.5,611.1,698.4,931.2,1096.1,1290.1,1610.2,1794.5,2085.6,2745.2,3307.8
POCRI,COCLE,,0,13.1,13.1,13.1,39.3,39.3,52.5,65.6,65.6,65.6,65.6,65.6,91.8,104.9,104.9,104.9,131.1,170.5,196.7
PONUGA,VERAGUAS,,0,64.9,324.3,324.3,324.3,324.3,324.3,324.3,324.3,324.3,324.3,454,454,518.8,583.7,648.5,648.5,907.9,1167.3
PORTOBELILLO,HERRERA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.8
PORTOBELO,COLON,,0,0,0,0,0,0,0,0,0,0,18.7,18.7,37.3,56,186.7,205.4,317.4,522.8,616.1
POTRERILLOS,CHIRIQUI,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.9,127.7,127.7,127.7,191.6
POTUGA,HERRERA,,0,0,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,263.9
PROGRESO,CHIRIQUI,,0,0,0,0,0,0,0,0,0,7.9,15.8,15.8,15.8,71.1,165.8,260.6,355.4,679.1,797.6
PUEBLO NUEVO,METROPOLITANA,,0,13.8,50.6,119.7,170.3,211.7,225.5,248.5,257.7,276.2,326.8,372.8,437.2,635.2,874.5,1063.2,1261.1,1551.1,1739.8
PUEBLOS UNIDOS,COCLE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.2,25.2,25.2,25.2
PUERTO ARMUELLES,CHIRIQUI,,0,0,0,4.7,9.3,9.3,9.3,9.3,9.3,9.3,14,18.7,42,70,116.6,200.6,485.1,671.6,750.9
PUERTO CAIMITO,PANAMA OESTE,,0,8.1,44.8,118.1,191.3,232,297.2,350.1,398.9,439.6,488.5,574,712.4,875.2,1148,1412.6,1620.2,1994.7,2548.3
PUERTO OBALDIA,GUNA YALA,,0,0,0,0,0,0,0,0,0,0,0,0,105.8,105.8,105.8,105.8,105.8,105.8,211.6
PUERTO PILON,COLON,,0,0,9.4,9.4,9.4,14.1,32.9,56.3,56.3,61,61,61,70.4,93.9,136.2,169,267.6,333.4,582.2
PUNTA CHAME,PANAMA OESTE,,0,0,0,168.4,336.7,505.1,505.1,505.1,505.1,505.1,505.1,505.1,505.1,505.1,505.1,505.1,505.1,505.1,505.1
PUNTA PEÑA,BOCAS DEL TORO,,0,0,0,0,0,0,0,30,90,90,120,120,120,120,120,120,120,240,240
QUEBRADA DE PIEDRA,CHIRIQUI,,0,0,0,0,0,0,0,0,0,0,0,0,0,85.5,85.5,170.9,170.9,170.9,170.9
QUEREVALO,CHIRIQUI,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.9,107.9,107.9,161.8
RAMBALA,BOCAS DEL TORO,,0,0,0,0,0,0,0,0,0,0,86.4,86.4,172.8,388.8,388.8,432,604.8,691.1,691.1
REMANCE,VERAGUAS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.8,119.5
REMEDIOS,CHIRIQUI,,0,0,109.1,109.1,109.1,109.1,109.1,109.1,109.1,109.1,109.1,109.1,109.1,109.1,109.1,218.1,218.1,218.1,436.2
RINCON,CHIRIQUI,,0,0,0,0,0,0,0,0,0,0,0,0,0,60.8,60.8,60.8,60.8,60.8,182.5
RIO ABAJO,METROPOLITANA,,0,3.3,33.2,66.4,79.7,89.7,109.6,335.5,445.1,478.3,504.9,548.1,860.3,1066.3,1272.2,1601.1,1873.4,2076.1,2341.8
RIO CONGO,DARIEN,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.4,64.4,64.4
RIO DE JESUS,VERAGUAS,,0,0,0,37.7,37.7,37.7,37.7,37.7,37.7,37.7,37.7,37.7,37.7,37.7,150.6,263.6,263.6,263.6,301.2
RIO GRANDE,COCLE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.6,59.1
RIO GRANDE,VERAGUAS,,0,0,0,0,0,0,53.1,53.1,53.1,53.1,53.1,53.1,53.1,53.1,53.1,53.1,53.1,53.1,53.1
RIO HATO,COCLE,,0,0,28.7,45.9,57.4,57.4,63.1,63.1,68.8,68.8,68.8,74.6,86,86,97.5,109,126.2,195,206.5
RIO IGLESIAS,DARIEN,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.6,56.6,169.9,169.9,169.9
RIO INDIO,COLON,,0,0,0,0,84.7,84.7,84.7,84.7,84.7,84.7,84.7,84.7,84.7,84.7,84.7,84.7,84.7,84.7,84.7
RIO SABALO,DARIEN,,0,0,0,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1
RIO SERENO,CHIRIQUI,,0,0,0,0,0,0,0,0,0,0,0,0,0,14.9,14.9,14.9,29.8,29.8,29.8
RODEO VIEJO,VERAGUAS,,0,0,0,0,0,0,0,0,0,0,0,95.1,142.7,142.7,190.3,190.3,190.3,190.3,190.3
RODOLFO AGUILAR DELGADO,CHIRIQUI,,0,0,0,0,6.5,6.5,6.5,6.5,6.5,6.5,6.5,25.9,123.2,246.3,356.5,551,700.1,823.2,946.4
RODRIGO LUQUE,VERAGUAS,,0,0,0,0,21.9,30.7,87.8,188.7,219.4,280.8,320.3,359.8,386.1,399.3,399.3,421.2,443.1,473.9,513.3
ROKA,NGOBE BUGLE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.5,29.5,29.5,29.5,29.5
RUFINA ALFARO,SAN MIGUELITO,,1.7,15.1,30.1,53.6,82,98.7,108.8,123.8,138.9,159,167.4,194.1,251,314.6,384.9,460.2,577.4,712.9,868.6
SABANA GRANDE,HERRERA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181.9
SABANA GRANDE,LOS SANTOS,,0,0,49.4,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9
SABANITAS,COLON,,0,0,4.4,8.8,17.5,30.7,39.4,52.6,57,65.7,65.7,74.5,118.3,184.1,320,583,1038.8,1521,2283.7
SAJALICES,PANAMA OESTE,,0,0,0,0,33.7,33.7,33.7,33.7,33.7,33.7,33.7,33.7,33.7,101.1,101.1,101.1,134.8,168.5,235.9
SALAMANCA,COLON,,0,0,0,0,20.3,40.6,60.9,60.9,60.9,60.9,60.9,60.9,81.2,142.1,182.7,243.7,467,649.7,873.1
SALUD,COLON,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.8,39.8,39.8
SAMBOA,NGOBE BUGLE,,0,0,0,0,0,0,0,0,0,0,114,152,228.1,228.1,228.1,228.1,228.1,228.1,228.1
SAMBU,DARIEN,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195.7,684.9,880.6
SAN ANDRES,CHIRIQUI,,0,0,0,0,0,0,0,0,0,0,0,0,0,38.3,38.3,38.3,38.3,76.5,76.5
SAN ANTONIO,VERAGUAS,,0,28.7,57.4,143.6,315.8,373.2,488.1,545.5,545.5,545.5,545.5,660.4,689.1,746.5,803.9,918.7,1004.9,1091,1493
SAN CARLOS,CHIRIQUI,,0,0,0,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,53,88.3,159
SAN CARLOS,PANAMA OESTE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.9,62.9,104.9,188.8,251.8
SAN FELIPE,METROPOLITANA,,0,29.3,117.1,175.7,263.5,292.8,292.8,322.1,380.7,380.7,410,614.9,849.2,1376.3,1815.5,2020.5,2166.9,2313.3,2430.5
SAN FELIX,CHIRIQUI,,0,0,31.3,62.6,62.6,62.6,62.6,62.6,62.6,62.6,62.6,62.6,156.5,313.1,532.2,563.6,688.8,1189.7,1315
SAN FRANCISCO,METROPOLITANA,,11.6,60.2,137.8,231,283.4,322.2,368.7,434.7,473.5,496.8,506.5,547.3,638.5,776.3,927.7,1079.1,1271.2,1430.3,1639.9
SAN FRANCISCO,VERAGUAS,,0,0,0,0,0,0,0,0,0,0,0,0,0,162.8,244.2,284.9,325.6,1709.4,2849
SAN ISIDRO,CHIRIQUI,,0,0,0,16.4,16.4,16.4,16.4,32.8,32.8,98.5,98.5,98.5,98.5,98.5,98.5,131.3,131.3,147.7,164.1
SAN JOSE,PANAMA OESTE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.6,63.2
SAN JOSE,VERAGUAS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1402.5,2805
SAN JOSE DEL GENERAL,COLON,,0,0,0,0,0,0,72.7,145.5,145.5,145.5,145.5,145.5,145.5,145.5,145.5,145.5,145.5,145.5,145.5
SAN JUAN,CHIRIQUI,,0,0,0,0,59.2,59.2,59.2,59.2,59.2,59.2,59.2,59.2,59.2,59.2,59.2,59.2,59.2,118.4,236.8
SAN JUAN,COLON,,0,0,13.7,27.5,50.4,82.4,82.4,87,105.3,128.2,155.6,183.1,260.9,329.6,439.5,631.8,824,1039.2,1336.8
SAN JUAN,VERAGUAS,,0,0,0,0,58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2,174.5,174.5,174.5,174.5,174.5,232.7
